4SGM_SKU,Product ID
,11000017280746
12129,11000016071105
71200,11000017160635
20881,11000016707192
50928,11000017378915
18168,11000016638192
27538,11000016709180
48551,11000016709179
78109,11000017170569
75942,11000017234502
75946,11000017222574
46978,11000016650223
39570,11000016682191
74021,11000017219232
62530,11000017399780
62457,11000017371913
52896,11000017415814
27288,11000017426826
71776,11000017427795
70828,11000017440826
62470,11000017374906
62458,11000017405839
71786,11000017383866
26520,11000017384878
51790,11000017404891
70880,11000017439803
62568,11000017461665
41398,11000017454764
60032,11000017398834
27497,11000017370934
76814,11000017425850
14097,11000017429820
70831,11000017440825
71636,11000017429821
44017,11000017446787
41369,11000017450809
60517,11000017455745
42848,11000017450810
74036,11000017469185
76812,11000017473084
70954,11000017371911
61884,11000017473085
62623,11000017372907
71638,11000017372906
62471,11000017375893
76815,11000017381879
41404,11000017403877
48787,11000017401884
71775,11000017414805
61920,11000017407887
48791,11000017415813
44261,11000017414806
46724,11000017444760
27289,11000017426825
45516,11000017446788
62504,11000017468181
62611,11000017369925
44016,11000017369926
71641,11000017381878
62548,11000017381880
62616,11000017392854
68194,11000017404890
70960,11000017427794
61897,11000017416831
76813,11000017428806
48792,11000017442776
46470,11000017443780
44036,11000017442775
46471,11000017451732
48848,11000017448774
34551,11000017464403
14090,11000017474013
70853,11000017394850
36809,11000017405838
60168,11000017431794
97131,11000017435833
62564,11000017450808
52888,11000017460733
81332X,11000017292776
81302X,11000017307718
81226X,11000017272750
81247X,11000017331693
81168X,11000017256854
81209X,11000017256855
81169X,11000017303739
81161X,11000017274758
80856X,11000017305782
81246X,11000017309719
81335X,11000017313724
81221X,11000017313723
81175X,11000017330739
81208X,11000017356326
83042X,11000017338657
81162X,11000017338658
81167X,11000017349641
81262X,11000017268773
81333X,11000017271766
83041X,11000017271765
81336X,11000017297756
81260X,11000017302689
81212X,11000017319759
81339X,11000017325710
81252X,11000017327714
81338X,11000017332744
81172X,11000017340661
81258X,11000017349642
80848X,11000017350631
80858X,11000017353626
81163X,11000017363089
80461X,11000017266758
81210X,11000017285755
81330X,11000017295729
81222X,11000017301743
83043X,11000017301744
81171X,11000017307720
81225X,11000017307719
81274X,11000017316734
80556X,11000017317704
81257X,11000017322707
80554X,11000017326681
81157X,11000017336656
80857X,11000017340662
81249X,11000017345659
81234X,11000017357260
81233X,11000017323738
80545X,11000017311714
80859X,11000017326680
81334X,11000017337691
80830X,11000017265800
81236X,11000017256853
81300X,11000017269760
81229X,11000017269761
81170X,11000017275788
80839X,11000017275789
81342X,11000017275790
80836X,11000017289740
81176X,11000017299742
81248X,11000017313722
80837X,11000017356325
81344X,11000017344696
81314X,11000017261789
81235X,11000017255845
81312X,11000017261790
81337X,11000017273770
81290X,11000017277790
81343X,11000017277789
81341X,11000017297755
81164X,11000017284772
80829X,11000017303738
80826X,11000017305780
81255X,11000017313721
80851X,11000017305781
80854X,11000017339665
80866X,11000017314731
80831X,11000017320746
80504X,11000017268772
80503X,11000017340660
80505X,11000017309717
81231X,11000017339666
81310X,11000017253954
82651X,11000017269759
83037X,11000017257842
81177X,11000017276738
81232X,11000017276737
81230X,11000017280747
81289X,11000017276739
83044X,11000017281787
81308X,11000017288773
81166X,11000017282790
81264X,11000017292775
81304X,11000017319758
81307X,11000017296722
81313X,11000017348731
80040X,11000017336654
81256X,11000017361111
81298X,11000017362118
81311X,11000017337690
80840X,11000017255844
81174X,11000017289739
81165X,11000017257841
80478X,11000017303737
81173X,11000017298775
76845,11000016877007
97385,11000016739962
80701X,11000016815995
68870,11000016789986
50578X,11000016876009
65178,11000016860023
94952,11000016881007
52043,11000016844052
53882,11000016809998
27666,11000016769934
70400,11000016823993
94951,11000016852024
97393,11000016875010
48509,11000016733996
26042,11000016846033
94950,11000016846034
92772,11000017234506
98311A,11000016853024
39961,11000016853025
60794,11000016769933
75950,11000017235482
75945,11000017200532
56119,11000017247513
56188,11000017159611
56035,11000017186572
56068,11000017169591
78103,11000017189564
78111,11000017189565
75948,11000017194555
56180,11000017197571
78105,11000017233475
56066,11000017220577
92770,11000017213500
75937,11000017233476
92771,11000017232520
78108,11000017226513
56038,11000017245493
43567,11000017236532
75944,11000017148629
78126,11000017252098
56045,11000017168586
92775,11000017148630
96188,11000017183530
75938,11000017183531
92702,11000017184602
71157,11000017184603
92768,11000017193561
81555X,11000017193560
92743,11000017234505
78127,11000017231524
92711,11000017244462
75943,11000017246506
78130,11000017250141
74014,11000017147753
71153,11000017147754
92701,11000017152629
71294,11000017167588
56052,11000017182567
96192,11000017240516
56187,11000017214528
75939,11000017165596
75949,11000017240517
78102,11000017168585
78090,11000017193559
78091,11000017207577
78119,11000017197570
56163,11000017235481
56040,11000017234503
92773,11000017158584
78115,11000017240515
56195,11000017160636
78118,11000017164593
56198,11000017176560
78101,11000017176561
75940,11000017188542
56196,11000017187578
78129,11000017239532
75947,11000017167586
81286X,11000017247514
56175,11000017167587
81287X,11000017186570
81277X,11000017156611
81285X,11000017186571
81280X,11000017190560
81283X,11000017234504
81275X,11000017181590
81279X,11000017201561
80536X,11000017200531
81266X,11000017247512
80543X,11000017230531
81267X,11000017169590
80540X,11000017249235
80547X,11000017214527
81281X,11000017187577
81239X,11000017218549
81272X,11000017215540
80542X,11000017203562
81276X,11000017230530
81292X,11000017244461
81265X,11000017252097
81284X,11000017203561
81241X,11000017217511
56041,11000017228517
78092,11000017220576
80546X,11000017246505
81278X,11000017246504
92448,11000016858028
42905,11000016854031
94953,11000016841052
10065,11000016869012
26513,11000017215261
51006,11000017143872
74343,11000017195259
54640,11000017169302
76625,11000017158298
55914,11000016840051
76638,11000017161306
62192,11000017161307
62190,11000017166298
76644,11000017166299
49505,11000017176282
95614,11000017169300
14294,11000017202270
76639,11000017209241
75337,11000017143871
35198,11000017143873
26514,11000017148351
74347,11000017144918
34806,11000017162308
68840,11000017169301
34810,11000017175293
49515,11000017179271
95616,11000017200255
76643,11000017195258
79086,11000017203279
76641,11000017211272
79824,11000017235212
62189,11000017150313
62191,11000017156325
79085,11000017153329
34803,11000017165300
79087,11000017167287
51428,11000017189281
52893,11000017185314
69910,11000017205304
34807,11000017204263
45269,11000017218234
79829,11000017212263
62193,11000017247209
34825,11000017232240
49498,11000017248181
78251,11000017177254
60785,11000017167262
71610,11000017163289
78283,11000017234207
78282,11000017183253
96173,11000017239193
78294,11000017150293
78288,11000017159306
78284,11000017161285
96095,11000017165261
81376X,11000017168273
60755,11000017171326
96175,11000017193272
74036,11000017196221
18433,11000017193273
71929,11000017209215
96091,11000017206216
96172,11000017214217
18434,11000017207253
78255,11000017215227
78270,11000017152289
96079,11000017215228
72059,11000017228216
96130,11000017141805
96149,11000017247174
71629,11000017144882
71615,11000017152290
78257,11000017170287
78286,11000017175264
77966,11000017182254
96147,11000017178295
78243,11000017241195
74020,11000017241194
96295,11000016829928
60610,11000016793931
46099,11000016801996
75658,11000016884004
78956,11000016742975
60606,11000016879012
51085,11000016732966
32927,11000016731998
51078,11000016876008
60596,11000016885002
12297,11000016856021
75660,11000016842054
55912,11000016868012
75656,11000016827939
75012,11000016754996
96316,11000016798979
60591,11000016767974
46713,11000016830933
71494,11000016849034
47293,11000016801997
75410,11000016849033
78971,11000016836397
60611,11000016780976
56024,11000016839059
60612,11000016883008
74457,11000016847043
60652,11000016885005
60683,11000016811988
60603,11000016727974
33041,11000016727973
60595,11000016834459
72890,11000016733998
32366,11000016837401
33204,11000016868013
81696X,11000016883007
78955,11000016731999
32908,11000016793930
60594,11000016830934
75755,11000016865017
60609,11000016846035
76655,11000016735981
32931,11000016766973
12666,11000016848030
46712,11000016855027
78970,11000016858027
60601,11000016734984
60685,11000016836396
50826,11000016810983
75406,11000016853023
28981,11000016856023
32075,11000016803897
32063,11000016881008
93867,11000016800995
18247,11000016739963
69752,11000016811987
69756,11000016798980
69753,11000016885003
69754,11000016746968
69755,11000016881006
59115,11000016872014
13513,11000016873016
93865,11000016840052
93866,11000016724947
51175,11000016851027
18248,11000016852025
13536,11000016747992
17627,11000016874008
18238,11000016885004
93732,11000016864013
68636,11000016732968
46696,11000016860021
93733,11000016765995
46698,11000016878009
90868,11000016845047
66406,11000016809997
28850,11000016854030
18162,11000016674198
66403,11000016883005
39510,11000016658227
39553,11000016701196
24366,11000016624247
27547,11000016683214
18160,11000016634193
18126,11000016629230
19400,11000016639207
18119,11000016699211
66399,11000016706172
20296,11000016686216
44463,11000016642204
27541,11000016641208
57053,11000016685201
17210,11000016680208
20345,11000016688190
39509,11000016701195
28851,11000016705206
39571,11000016701197
19397,11000016716209
46977,11000016710174
18159,11000016616226
27875,11000016717195
18144,11000016621219
58055,11000016641209
27534,11000016644183
27536,11000016647210
24486,11000016661203
46976,11000016652200
32425,11000016671190
15828,11000016666206
39517,11000016678179
39502,11000016673199
39508,11000016690223
18172,11000016690222
18141,11000016719191
39518,11000016698192
13516,11000016619204
44462,11000016635226
39458,11000016644184
69072,11000016635227
33686,11000016650224
15829,11000016651210
13514,11000016675188
39470,11000016654195
65228,11000016694213
19399,11000016682190
39503,11000016713202
50199,11000016638191
18122,11000016671189
24365,11000016617215
85916,11000016705205
18186,11000016638190
18095,11000016615213
18145,11000016690221
39482,11000016616224
27528,11000016616225
39442,11000016682189
63543,11000016626217
20850,11000016674199
69094,11000016646192
97289,11000016716210
18170,11000016615214
15910,11000016678180
39457,11000016640187
57241,11000016649214
51376,11000016695210
69790,11000016650225
18118,11000016683215
93825,11000016688191
66302,11000016134514
50314,11000016076792
25968,11000016111603
26267,11000016025720
86029,11000016012641
97143,11000015972964
44438,11000015989749
70774,11000015456119
49909,11000015935090
95992,11000016177130
93342,11000016170343
32062,11000016101578
95986,11000016130516
95991,11000016095704
46967,11000016071104
56979,11000016017738
57956,11000016026580
86027,11000016002643
31336,11000015981910
66295,11000016141501
96140,11000015874016
90139,11000016116556
49946,11000016041378
48477,11000016038695
57959,11000016034593
64939,11000016032588
48478,11000016033702
57951,11000016022600
50124,11000016002767
57958,11000015982778
49940,11000015993528
77460,11000016178092
32075,11000016174232
46529,11000016150406
49941,11000016019457
86028,11000016015639
56836,11000015859460
32096,11000015819655
